index	image_path	question	answer	type	A	B	C	D	E	F	G	H
0	data/raven/images/fused/0.jpg	holder	G	0	A	B	C	D	E	F	G	H
1	data/raven/images/fused/1.jpg	holder	D	0	A	B	C	D	E	F	G	H
2	data/raven/images/fused/2.jpg	holder	C	0	A	B	C	D	E	F	G	H
3	data/raven/images/fused/3.jpg	holder	F	0	A	B	C	D	E	F	G	H
4	data/raven/images/fused/4.jpg	holder	G	0	A	B	C	D	E	F	G	H
5	data/raven/images/fused/5.jpg	holder	B	0	A	B	C	D	E	F	G	H
6	data/raven/images/fused/6.jpg	holder	E	0	A	B	C	D	E	F	G	H
7	data/raven/images/fused/7.jpg	holder	C	0	A	B	C	D	E	F	G	H
8	data/raven/images/fused/8.jpg	holder	F	0	A	B	C	D	E	F	G	H
9	data/raven/images/fused/9.jpg	holder	F	0	A	B	C	D	E	F	G	H
10	data/raven/images/fused/10.jpg	holder	G	0	A	B	C	D	E	F	G	H
11	data/raven/images/fused/11.jpg	holder	D	0	A	B	C	D	E	F	G	H
12	data/raven/images/fused/12.jpg	holder	B	0	A	B	C	D	E	F	G	H
13	data/raven/images/fused/13.jpg	holder	A	0	A	B	C	D	E	F	G	H
14	data/raven/images/fused/14.jpg	holder	F	0	A	B	C	D	E	F	G	H
15	data/raven/images/fused/15.jpg	holder	B	0	A	B	C	D	E	F	G	H
16	data/raven/images/fused/16.jpg	holder	G	0	A	B	C	D	E	F	G	H
17	data/raven/images/fused/17.jpg	holder	F	0	A	B	C	D	E	F	G	H
18	data/raven/images/fused/18.jpg	holder	F	0	A	B	C	D	E	F	G	H
19	data/raven/images/fused/19.jpg	holder	F	0	A	B	C	D	E	F	G	H
20	data/raven/images/fused/20.jpg	holder	G	1	A	B	C	D	E	F	G	H
21	data/raven/images/fused/21.jpg	holder	C	1	A	B	C	D	E	F	G	H
22	data/raven/images/fused/22.jpg	holder	G	1	A	B	C	D	E	F	G	H
23	data/raven/images/fused/23.jpg	holder	E	1	A	B	C	D	E	F	G	H
24	data/raven/images/fused/24.jpg	holder	F	1	A	B	C	D	E	F	G	H
25	data/raven/images/fused/25.jpg	holder	H	1	A	B	C	D	E	F	G	H
26	data/raven/images/fused/26.jpg	holder	B	1	A	B	C	D	E	F	G	H
27	data/raven/images/fused/27.jpg	holder	A	1	A	B	C	D	E	F	G	H
28	data/raven/images/fused/28.jpg	holder	A	1	A	B	C	D	E	F	G	H
29	data/raven/images/fused/29.jpg	holder	H	1	A	B	C	D	E	F	G	H
30	data/raven/images/fused/30.jpg	holder	G	1	A	B	C	D	E	F	G	H
31	data/raven/images/fused/31.jpg	holder	A	1	A	B	C	D	E	F	G	H
