index	answer	image_path	question	A	B	C	D	E	F
0	D	data/it-pattern/images/pattern-recognition/difficult/1/1.png	holder	A	B	C	D	E	F
1	A	data/it-pattern/images/pattern-recognition/difficult/1/2.png	holder	A	B	C	D	E	F
2	C	data/it-pattern/images/pattern-recognition/difficult/1/3.png	holder	A	B	C	D	E	F
3	B	data/it-pattern/images/pattern-recognition/difficult/1/4.png	holder	A	B	C	D	E	F
4	C	data/it-pattern/images/pattern-recognition/difficult/1/5.png	holder	A	B	C	D	E	F
5	D	data/it-pattern/images/pattern-recognition/difficult/1/6.png	holder	A	B	C	D	E	F
6	C	data/it-pattern/images/pattern-recognition/difficult/1/7.png	holder	A	B	C	D	E	F
7	B	data/it-pattern/images/pattern-recognition/difficult/1/8.png	holder	A	B	C	D	E	F
8	C	data/it-pattern/images/pattern-recognition/difficult/1/9.png	holder	A	B	C	D	E	F
9	A	data/it-pattern/images/pattern-recognition/difficult/1/10.png	holder	A	B	C	D	E	F
10	A	data/it-pattern/images/pattern-recognition/difficult/2/1.png	holder	A	B	C	D	E	F
11	A	data/it-pattern/images/pattern-recognition/difficult/2/2.png	holder	A	B	C	D	E	F
12	A	data/it-pattern/images/pattern-recognition/difficult/2/3.png	holder	A	B	C	D	E	F
13	A	data/it-pattern/images/pattern-recognition/difficult/2/4.png	holder	A	B	C	D	E	F
14	D	data/it-pattern/images/pattern-recognition/difficult/2/5.png	holder	A	B	C	D	E	F
15	F	data/it-pattern/images/pattern-recognition/difficult/2/6.png	holder	A	B	C	D	E	F
16	C	data/it-pattern/images/pattern-recognition/difficult/2/7.png	holder	A	B	C	D	E	F
17	E	data/it-pattern/images/pattern-recognition/easy/1/1.png	holder	A	B	C	D	E	F
18	C	data/it-pattern/images/pattern-recognition/easy/1/2.png	holder	A	B	C	D	E	F
19	F	data/it-pattern/images/pattern-recognition/easy/1/3.png	holder	A	B	C	D	E	F
20	B	data/it-pattern/images/pattern-recognition/easy/1/4.png	holder	A	B	C	D	E	F
21	C	data/it-pattern/images/pattern-recognition/easy/1/5.png	holder	A	B	C	D	E	F
22	A	data/it-pattern/images/pattern-recognition/easy/1/6.png	holder	A	B	C	D	E	F
23	A	data/it-pattern/images/pattern-recognition/easy/1/7.png	holder	A	B	C	D	E	F
24	C	data/it-pattern/images/pattern-recognition/easy/1/8.png	holder	A	B	C	D	E	F
25	E	data/it-pattern/images/pattern-recognition/easy/1/9.png	holder	A	B	C	D	E	F
26	B	data/it-pattern/images/pattern-recognition/easy/1/10.png	holder	A	B	C	D	E	F
27	A	data/it-pattern/images/pattern-recognition/easy/2/1.png	holder	A	B	C	D	E	F
28	B	data/it-pattern/images/pattern-recognition/easy/2/2.png	holder	A	B	C	D	E	F
29	E	data/it-pattern/images/pattern-recognition/easy/2/3.png	holder	A	B	C	D	E	F
30	E	data/it-pattern/images/pattern-recognition/medium/1/1.png	holder	A	B	C	D	E	F
31	F	data/it-pattern/images/pattern-recognition/medium/1/2.png	holder	A	B	C	D	E	F
32	D	data/it-pattern/images/pattern-recognition/medium/1/3.png	holder	A	B	C	D	E	F
33	B	data/it-pattern/images/pattern-recognition/medium/1/4.png	holder	A	B	C	D	E	F
34	F	data/it-pattern/images/pattern-recognition/medium/1/5.png	holder	A	B	C	D	E	F
35	A	data/it-pattern/images/pattern-recognition/medium/1/6.png	holder	A	B	C	D	E	F
36	B	data/it-pattern/images/pattern-recognition/medium/1/7.png	holder	A	B	C	D	E	F
37	E	data/it-pattern/images/pattern-recognition/medium/1/8.png	holder	A	B	C	D	E	F
38	A	data/it-pattern/images/pattern-recognition/medium/1/9.png	holder	A	B	C	D	E	F
39	E	data/it-pattern/images/pattern-recognition/medium/1/10.png	holder	A	B	C	D	E	F
40	E	data/it-pattern/images/pattern-recognition/medium/2/1.png	holder	A	B	C	D	E	F
41	D	data/it-pattern/images/pattern-recognition/medium/2/2.png	holder	A	B	C	D	E	F
42	F	data/it-pattern/images/pattern-recognition/medium/2/3.png	holder	A	B	C	D	E	F
43	C	data/it-pattern/images/pattern-recognition/medium/2/4.png	holder	A	B	C	D	E	F
44	A	data/it-pattern/images/pattern-recognition/medium/2/5.png	holder	A	B	C	D	E	F
45	E	data/it-pattern/images/pattern-recognition/medium/2/6.png	holder	A	B	C	D	E	F
46	A	data/it-pattern/images/pattern-recognition/medium/2/7.png	holder	A	B	C	D	E	F
47	E	data/it-pattern/images/pattern-recognition/medium/2/8.png	holder	A	B	C	D	E	F
48	E	data/it-pattern/images/pattern-recognition/medium/2/9.png	holder	A	B	C	D	E	F
49	D	data/it-pattern/images/pattern-recognition/medium/2/10.png	holder	A	B	C	D	E	F
50	A	data/it-pattern/images/pattern-recognition/medium/3/1.png	holder	A	B	C	D	E	F
51	E	data/it-pattern/images/pattern-recognition/medium/3/2.png	holder	A	B	C	D	E	F
52	D	data/it-pattern/images/pattern-recognition/medium/3/3.png	holder	A	B	C	D	E	F
53	B	data/it-pattern/images/pattern-recognition/medium/3/4.png	holder	A	B	C	D	E	F
54	C	data/it-pattern/images/pattern-recognition/medium/3/5.png	holder	A	B	C	D	E	F
55	D	data/it-pattern/images/pattern-recognition/medium/3/6.png	holder	A	B	C	D	E	F
56	B	data/it-pattern/images/pattern-recognition/medium/3/7.png	holder	A	B	C	D	E	F
57	D	data/it-pattern/images/pattern-recognition/medium/3/8.png	holder	A	B	C	D	E	F
58	D	data/it-pattern/images/pattern-recognition/medium/3/9.png	holder	A	B	C	D	E	F
59	C	data/it-pattern/images/pattern-recognition/medium/3/10.png	holder	A	B	C	D	E	F
60	E	data/it-pattern/images/pattern-recognition/medium/4/1.png	holder	A	B	C	D	E	F
61	E	data/it-pattern/images/pattern-recognition/medium/4/2.png	holder	A	B	C	D	E	F
62	E	data/it-pattern/images/pattern-recognition/medium/4/3.png	holder	A	B	C	D	E	F
63	A	data/it-pattern/images/pattern-recognition/medium/4/4.png	holder	A	B	C	D	E	F
64	A	data/it-pattern/images/pattern-recognition/medium/4/5.png	holder	A	B	C	D	E	F
65	D	data/it-pattern/images/pattern-recognition/medium/4/6.png	holder	A	B	C	D	E	F
