index	image_path	question	answer	type	A	B	C	D	E	F	G	H
0	data/simpler_raven/images/fused/0.jpg	holder	G	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
1	data/simpler_raven/images/fused/1.jpg	holder	F	center_single	A	B	C	D	E	F	G	H
2	data/simpler_raven/images/fused/2.jpg	holder	F	up_center_single_down_center_single	A	B	C	D	E	F	G	H
3	data/simpler_raven/images/fused/3.jpg	holder	D	distribute_four	A	B	C	D	E	F	G	H
4	data/simpler_raven/images/fused/4.jpg	holder	H	up_center_single_down_center_single	A	B	C	D	E	F	G	H
5	data/simpler_raven/images/fused/5.jpg	holder	D	distribute_nine	A	B	C	D	E	F	G	H
6	data/simpler_raven/images/fused/6.jpg	holder	C	center_single	A	B	C	D	E	F	G	H
7	data/simpler_raven/images/fused/7.jpg	holder	F	center_single	A	B	C	D	E	F	G	H
8	data/simpler_raven/images/fused/8.jpg	holder	C	distribute_nine	A	B	C	D	E	F	G	H
9	data/simpler_raven/images/fused/9.jpg	holder	H	distribute_nine	A	B	C	D	E	F	G	H
10	data/simpler_raven/images/fused/10.jpg	holder	A	center_single	A	B	C	D	E	F	G	H
11	data/simpler_raven/images/fused/11.jpg	holder	H	left_center_single_right_center_single	A	B	C	D	E	F	G	H
12	data/simpler_raven/images/fused/12.jpg	holder	G	distribute_nine	A	B	C	D	E	F	G	H
13	data/simpler_raven/images/fused/13.jpg	holder	B	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
14	data/simpler_raven/images/fused/14.jpg	holder	B	in_center_single_out_center_single	A	B	C	D	E	F	G	H
15	data/simpler_raven/images/fused/15.jpg	holder	F	center_single	A	B	C	D	E	F	G	H
16	data/simpler_raven/images/fused/16.jpg	holder	E	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
17	data/simpler_raven/images/fused/17.jpg	holder	B	distribute_four	A	B	C	D	E	F	G	H
18	data/simpler_raven/images/fused/18.jpg	holder	C	up_center_single_down_center_single	A	B	C	D	E	F	G	H
19	data/simpler_raven/images/fused/19.jpg	holder	C	up_center_single_down_center_single	A	B	C	D	E	F	G	H
20	data/simpler_raven/images/fused/20.jpg	holder	E	center_single	A	B	C	D	E	F	G	H
21	data/simpler_raven/images/fused/21.jpg	holder	H	in_center_single_out_center_single	A	B	C	D	E	F	G	H
22	data/simpler_raven/images/fused/22.jpg	holder	A	left_center_single_right_center_single	A	B	C	D	E	F	G	H
23	data/simpler_raven/images/fused/23.jpg	holder	D	left_center_single_right_center_single	A	B	C	D	E	F	G	H
24	data/simpler_raven/images/fused/24.jpg	holder	D	left_center_single_right_center_single	A	B	C	D	E	F	G	H
25	data/simpler_raven/images/fused/25.jpg	holder	C	distribute_nine	A	B	C	D	E	F	G	H
26	data/simpler_raven/images/fused/26.jpg	holder	B	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
27	data/simpler_raven/images/fused/27.jpg	holder	C	center_single	A	B	C	D	E	F	G	H
28	data/simpler_raven/images/fused/28.jpg	holder	A	in_center_single_out_center_single	A	B	C	D	E	F	G	H
29	data/simpler_raven/images/fused/29.jpg	holder	B	distribute_four	A	B	C	D	E	F	G	H
30	data/simpler_raven/images/fused/30.jpg	holder	F	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
31	data/simpler_raven/images/fused/31.jpg	holder	A	distribute_four	A	B	C	D	E	F	G	H
32	data/simpler_raven/images/fused/32.jpg	holder	D	up_center_single_down_center_single	A	B	C	D	E	F	G	H
33	data/simpler_raven/images/fused/33.jpg	holder	D	distribute_nine	A	B	C	D	E	F	G	H
34	data/simpler_raven/images/fused/34.jpg	holder	D	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
35	data/simpler_raven/images/fused/35.jpg	holder	H	in_center_single_out_center_single	A	B	C	D	E	F	G	H
36	data/simpler_raven/images/fused/36.jpg	holder	B	left_center_single_right_center_single	A	B	C	D	E	F	G	H
37	data/simpler_raven/images/fused/37.jpg	holder	F	distribute_nine	A	B	C	D	E	F	G	H
38	data/simpler_raven/images/fused/38.jpg	holder	D	distribute_four	A	B	C	D	E	F	G	H
39	data/simpler_raven/images/fused/39.jpg	holder	C	in_center_single_out_center_single	A	B	C	D	E	F	G	H
40	data/simpler_raven/images/fused/40.jpg	holder	G	center_single	A	B	C	D	E	F	G	H
41	data/simpler_raven/images/fused/41.jpg	holder	A	distribute_nine	A	B	C	D	E	F	G	H
42	data/simpler_raven/images/fused/42.jpg	holder	H	center_single	A	B	C	D	E	F	G	H
43	data/simpler_raven/images/fused/43.jpg	holder	F	left_center_single_right_center_single	A	B	C	D	E	F	G	H
44	data/simpler_raven/images/fused/44.jpg	holder	H	center_single	A	B	C	D	E	F	G	H
45	data/simpler_raven/images/fused/45.jpg	holder	E	in_center_single_out_center_single	A	B	C	D	E	F	G	H
46	data/simpler_raven/images/fused/46.jpg	holder	C	distribute_nine	A	B	C	D	E	F	G	H
47	data/simpler_raven/images/fused/47.jpg	holder	G	up_center_single_down_center_single	A	B	C	D	E	F	G	H
48	data/simpler_raven/images/fused/48.jpg	holder	B	up_center_single_down_center_single	A	B	C	D	E	F	G	H
49	data/simpler_raven/images/fused/49.jpg	holder	G	left_center_single_right_center_single	A	B	C	D	E	F	G	H
50	data/simpler_raven/images/fused/50.jpg	holder	A	distribute_nine	A	B	C	D	E	F	G	H
51	data/simpler_raven/images/fused/51.jpg	holder	A	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
52	data/simpler_raven/images/fused/52.jpg	holder	B	up_center_single_down_center_single	A	B	C	D	E	F	G	H
53	data/simpler_raven/images/fused/53.jpg	holder	F	center_single	A	B	C	D	E	F	G	H
54	data/simpler_raven/images/fused/54.jpg	holder	B	in_center_single_out_center_single	A	B	C	D	E	F	G	H
55	data/simpler_raven/images/fused/55.jpg	holder	B	up_center_single_down_center_single	A	B	C	D	E	F	G	H
56	data/simpler_raven/images/fused/56.jpg	holder	G	up_center_single_down_center_single	A	B	C	D	E	F	G	H
57	data/simpler_raven/images/fused/57.jpg	holder	C	distribute_four	A	B	C	D	E	F	G	H
58	data/simpler_raven/images/fused/58.jpg	holder	F	in_center_single_out_center_single	A	B	C	D	E	F	G	H
59	data/simpler_raven/images/fused/59.jpg	holder	B	left_center_single_right_center_single	A	B	C	D	E	F	G	H
60	data/simpler_raven/images/fused/60.jpg	holder	G	left_center_single_right_center_single	A	B	C	D	E	F	G	H
61	data/simpler_raven/images/fused/61.jpg	holder	A	in_distribute_four_out_center_single	A	B	C	D	E	F	G	H
62	data/simpler_raven/images/fused/62.jpg	holder	A	left_center_single_right_center_single	A	B	C	D	E	F	G	H
63	data/simpler_raven/images/fused/63.jpg	holder	B	distribute_nine	A	B	C	D	E	F	G	H
64	data/simpler_raven/images/fused/64.jpg	holder	A	center_single	A	B	C	D	E	F	G	H
65	data/simpler_raven/images/fused/65.jpg	holder	F	center_single	A	B	C	D	E	F	G	H
